"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"CSL","Carlisle Companies Inc","Common stocks","Large cap","Industrials","$12,349,772,442","0.99%","USA","Analyze"
"FCNCA","First Citizens Bancshares Inc Class A","Common stocks","Large cap","Financials","$12,329,749,633","0.23%","USA","Analyze"
"CPT","Camden Property Trust","REITs","Large cap","Real Estate","$12,309,314,444","3.13%","USA","Analyze"
"VTRS","Viatris Inc.","Common stocks","Large cap","Health Care","$12,284,318,584","4.57%","USA","Analyze"
"MTCH","Match Group Inc","Common stocks","Large cap","Communication Services","$12,225,014,726","0.00%","USA","Analyze"
"RPM","RPM International Inc","Common stocks","Large cap","Materials","$12,208,885,243","1.70%","USA","Analyze"
"CHRW","C.H. Robinson Worldwide, Inc.","Common stocks","Large cap","Industrials","$12,105,875,978","2.23%","USA","Analyze"
"FICO","Fair Isaac Corp","Common stocks","Large cap","Information Technology","$12,091,913,804","0.00%","USA","Analyze"
"PARAA","Paramount Global - Class A","Common stocks","Large cap","Communication Services","$12,004,351,929","4.52%","USA","Analyze"
"PARA","Paramount Global - Class B","Common stocks","Large cap","Communication Services","$12,004,351,929","5.20%","USA","Analyze"
"IP","International Paper","Common stocks","Large cap","Materials","$11,954,069,002","5.42%","USA","Analyze"
"ELS","Equity LifeStyle Properties, Inc","REITs","Large cap","Real Estate","$11,903,659,880","2.47%","USA","Analyze"
"ETSY","Etsy Inc","Common stocks","Large cap","Consumer Discretionary","$11,889,841,517","0.00%","USA","Analyze"
"POOL","Pool Corp","Common stocks","Large cap","Consumer Discretionary","$11,880,369,514","1.18%","USA","Analyze"
"ERIE","Erie Indemnity Class A","Common stocks","Large cap","Financials","$11,871,052,367","1.72%","USA","Analyze"
"CTLT","Catalent Inc","Common stocks","Large cap","Health Care","$11,824,559,545","0.00%","USA","Analyze"
"ENTG","Entegris Inc","Common stocks","Large cap","Information Technology","$11,818,821,770","0.38%","USA","Analyze"
"SNA","Snap On Inc","Common stocks","Large cap","Industrials","$11,802,987,590","2.54%","USA","Analyze"
"DPZ","Dominos Pizza Inc","Common stocks","Large cap","Consumer Discretionary","$11,761,089,679","1.27%","USA","Analyze"
"GGG","Graco Inc","Common stocks","Large cap","Industrials","$11,726,248,864","1.20%","USA","Analyze"
"COIN","Coinbase Class A","Common stocks","Large cap","Financials","$11,715,231,896","0.00%","USA","Analyze"
"BEN","Franklin Resources Inc","Common stocks","Large cap","Financials","$11,686,474,253","4.86%","USA","Analyze"
"RYAN","Ryan Specialty Group Holdings, Inc.","Common stocks","Large cap","Financials","$11,624,966,075","0.00%","USA","Analyze"
"TECH","Bio-Techne Corp","Common stocks","Large cap","Health Care","$11,620,099,030","0.43%","USA","Analyze"
"SWK","Stanley Black & Decker Inc","Common stocks","Large cap","Industrials","$11,611,950,783","3.99%","USA","Analyze"
"WTRG","Essential Utilities, Inc.","Common stocks","Large cap","Utilities","$11,593,191,140","2.45%","USA","Analyze"
"IPG","Interpublic Group Of Companies Inc","Common stocks","Large cap","Communication Services","$11,574,151,349","3.77%","USA","Analyze"
"EQH","AXA Equitable Holdings Inc","Common stocks","Large cap","Financials","$11,501,561,746","2.46%","USA","Analyze"
"ABMD","Abiomed Inc","Common stocks","Large cap","Health Care","$11,501,348,891","0.00%","USA","Analyze"
"NFE","New Fortress Energy LLC - Class A","Common stocks","Large cap","Energy","$11,430,122,632","0.72%","USA","Analyze"
"TRU","TransUnion","Common stocks","Large cap","Industrials","$11,421,329,000","0.66%","USA","Analyze"
"AAP","Advance Auto Parts Inc","Common stocks","Large cap","Consumer Discretionary","$11,417,655,951","2.86%","USA","Analyze"
"BXP","Boston Properties, Inc","REITs","Large cap","Real Estate","$11,394,611,236","5.30%","USA","Analyze"
"CAR","Avis Budget Group Inc","Common stocks","Large cap","Industrials","$11,365,767,466","0.00%","USA","Analyze"
"DOX","Amdocs Ltd","Common stocks","Large cap","Information Technology","$11,316,119,808","1.78%","Guernsey","Analyze"
"CNA","CNA Financial Corp","Common stocks","Large cap","Financials","$11,314,011,808","3.74%","USA","Analyze"
"UHAL","Amerco","Common stocks","Large cap","Industrials","$11,278,203,580","0.00%","USA","Analyze"
"PKG","Packaging Corp Of America","Common stocks","Large cap","Materials","$11,268,476,865","3.69%","USA","Analyze"
"GL","Globe Life Inc.","Common stocks","Large cap","Financials","$11,255,980,924","0.71%","USA","Analyze"
"AMH","American Homes 4 Rent Class A","REITs","Large cap","Real Estate","$11,106,658,679","1.99%","USA","Analyze"
"NBIX","Neurocrine Biosciences Inc","Common stocks","Large cap","Health Care","$11,009,998,634","0.00%","USA","Analyze"
"AR","Antero Resources Corp","Common stocks","Large cap","Energy","$11,003,002,110","0.00%","USA","Analyze"
"TTC","Toro","Common stocks","Large cap","Industrials","$10,986,084,230","1.13%","USA","Analyze"
"VFC","VF Corp","Common stocks","Large cap","Consumer Discretionary","$10,974,969,964","6.97%","USA","Analyze"
"ACI","Albertsons Companies, Inc. Class A","Common stocks","Large cap","Consumer Staples","$10,974,210,059","1.89%","USA","Analyze"
"WDC","Western Digital Corp","Common stocks","Large cap","Information Technology","$10,914,109,053","0.00%","USA","Analyze"
"FNF","Fidelity National Financial Inc","Common stocks","Large cap","Financials","$10,881,370,903","4.40%","USA","Analyze"
"CRL","Charles River Laboratories International","Common stocks","Large cap","Health Care","$10,795,736,911","0.00%","USA","Analyze"
"WSO","Watsco Inc","Common stocks","Large cap","Industrials","$10,526,968,452","3.12%","USA","Analyze"
"ACM","AECOM","Common stocks","Large cap","Industrials","$10,512,829,792","0.80%","USA","Analyze"
"BIO","Bio Rad Laboratories Inc Class A","Common stocks","Large cap","Health Care","$10,507,967,863","0.00%","USA","Analyze"
"UTHR","United Therapeutics Corp","Common stocks","Large cap","Health Care","$10,492,872,408","0.00%","USA","Analyze"
"BJ","BJs Wholesale Club Holdings Inc","Common stocks","Large cap","Consumer Staples","$10,454,337,194","0.00%","USA","Analyze"
"NRG","NRG Energy Inc","Common stocks","Large cap","Utilities","$10,440,533,105","3.11%","USA","Analyze"
"MAS","Masco Corp","Common stocks","Large cap","Industrials","$10,435,232,521","2.31%","USA","Analyze"
"REG","Regency Centers Corporation","REITs","Large cap","Real Estate","$10,429,644,770","4.07%","USA","Analyze"
"NI","Nisource Inc","Common stocks","Large cap","Utilities","$10,428,932,544","3.61%","USA","Analyze"
"CE","Celanese Corporation","Common stocks","Large cap","Materials","$10,414,472,526","2.82%","USA","Analyze"
"AXON","Axon Enterprise, Inc.","Common stocks","Large cap","Industrials","$10,337,556,250","0.00%","USA","Analyze"
"HII","Huntington Ingalls Industries Inc","Common stocks","Large cap","Industrials","$10,269,366,807","1.82%","USA","Analyze"
"TAP","Molson Coors Brewing Class B","Common stocks","Large cap","Consumer Staples","$10,268,435,518","2.90%","USA","Analyze"
"CG","Carlyle Group","Common stocks","Large cap","Financials","$10,218,268,681","4.02%","USA","Analyze"
"REXR","Rexford Industrial Realty, Inc","REITs","Large cap","Real Estate","$10,143,482,868","2.13%","USA","Analyze"
"CDAY","Ceridian HCM Holding Inc.","Common stocks","Large cap","Information Technology","$10,130,854,744","0.00%","USA","Analyze"
"RGEN","Repligen Corp","Common stocks","Large cap","Health Care","$10,126,588,906","0.00%","USA","Analyze"
"DT","Dynatrace, Inc.","Common stocks","Large cap","Information Technology","$10,125,851,521","0.00%","USA","Analyze"
"EWBC","East West Bancorp Inc","Common stocks","Large cap","Financials","$10,085,466,334","2.22%","USA","Analyze"
"CCL","Carnival Corp","Common stocks","Large cap","Consumer Discretionary","$10,081,123,653","0.00%","USA","Analyze"
"TFX","Teleflex Inc","Common stocks","Large cap","Health Care","$10,064,244,694","0.63%","USA","Analyze"
"SRPT","Sarepta Therapeutics Inc","Common stocks","Mid cap","Health Care","$9,984,487,055","0.00%","USA","Analyze"
"CFR","Cullen Frost Bankers Inc","Common stocks","Mid cap","Financials","$9,969,516,536","1.99%","USA","Analyze"
"KMX","Carmax Inc","Common stocks","Mid cap","Consumer Discretionary","$9,956,556,088","0.00%","USA","Analyze"
"DELL","Dell Technologies Inc. Class C","Common stocks","Mid cap","Information Technology","$9,950,562,547","2.56%","USA","Analyze"
"JNPR","Juniper Networks Inc","Common stocks","Mid cap","Information Technology","$9,931,399,004","2.69%","USA","Analyze"
"QGEN","Qiagen Nv","Common stocks","Mid cap","Health Care","$9,891,322,139","0.00%","The Netherlands","Analyze"
"RGA","Reinsurance Group Of America Inc","Common stocks","Mid cap","Financials","$9,858,898,138","2.01%","USA","Analyze"
"MORN","Morningstar Inc","Common stocks","Mid cap","Financials","$9,855,155,930","0.62%","USA","Analyze"
"NWS","News Corp Class B","Common stocks","Mid cap","Communication Services","$9,834,533,506","1.16%","USA","Analyze"
"NWSA","News Corp Class A","Common stocks","Mid cap","Communication Services","$9,834,533,506","1.18%","USA","Analyze"
"WOLF","Wolfspeed, Inc.","Common stocks","Mid cap","Information Technology","$9,781,795,485","0.00%","USA","Analyze"
"BSY","Bentley Systems, Inc Class B","Common stocks","Mid cap","Information Technology","$9,764,609,828","0.34%","USA","Analyze"
"DOCU","Docusign Inc.","Common stocks","Mid cap","Information Technology","$9,697,637,727","0.00%","USA","Analyze"
"WMS","Advanced Drainage Systems Inc","Common stocks","Mid cap","Industrials","$9,684,227,295","0.40%","USA","Analyze"
"BLDR","Builders Firstsource Inc","Common stocks","Mid cap","Industrials","$9,623,598,127","0.00%","USA","Analyze"
"SBNY","Signature Bank","Common stocks","Mid cap","Financials","$9,612,084,017","1.41%","USA","Analyze"
"VST","Vistra Energy Corp","Common stocks","Mid cap","Utilities","$9,563,518,131","2.94%","USA","Analyze"
"SCI","Service Corporation International","Common stocks","Mid cap","Consumer Discretionary","$9,556,678,780","1.61%","USA","Analyze"
"WBS","Webster Financial Corp","Common stocks","Mid cap","Financials","$9,540,731,679","2.91%","USA","Analyze"
"ZEN","Zendesk Inc","Common stocks","Mid cap","Information Technology","$9,527,813,524","0.00%","USA","Analyze"
"BKI","Black Knight","Common stocks","Mid cap","Information Technology","$9,434,833,383","0.00%","USA","Analyze"
"ARMK","Aramark","Common stocks","Mid cap","Consumer Discretionary","$9,406,659,258","1.20%","USA","Analyze"
"CUBE","CubeSmart","REITs","Mid cap","Real Estate","$9,402,942,103","4.05%","USA","Analyze"
"CZR","Caesars Entertainment Corp","Common stocks","Mid cap","Consumer Discretionary","$9,376,451,824","0.00%","USA","Analyze"
"BURL","Burlington Stores Inc","Common stocks","Mid cap","Consumer Discretionary","$9,370,522,922","0.00%","USA","Analyze"
"LSI","Life Storage, Inc","REITs","Mid cap","Real Estate","$9,333,793,326","3.71%","USA","Analyze"
"HSIC","Henry Schein Inc","Common stocks","Mid cap","Health Care","$9,318,415,374","0.00%","USA","Analyze"
"DECK","Deckers Outdoor Corp","Common stocks","Mid cap","Consumer Discretionary","$9,284,008,927","0.00%","USA","Analyze"
"AGCO","AGCO Corp","Common stocks","Mid cap","Industrials","$9,262,843,221","0.69%","USA","Analyze"
"PLUG","Plug Power Inc","Common stocks","Mid cap","Industrials","$9,247,560,674","0.00%","USA","Analyze"
"CMA","Comerica Inc","Common stocks","Mid cap","Financials","$9,232,145,540","3.81%","USA","Analyze"
"PSTG","Pure Storage Inc Class A","Common stocks","Mid cap","Information Technology","$9,224,616,177","0.00%","USA","Analyze"
"EMN","Eastman Chemical","Common stocks","Mid cap","Materials","$9,216,459,859","3.91%","USA","Analyze"
"AAL","American Airlines Group Inc","Common stocks","Mid cap","Industrials","$9,215,594,578","0.00%","USA","Analyze"
"ALLE","Allegion PLC","Common stocks","Mid cap","Industrials","$9,203,502,001","1.51%","USA","Analyze"
"MKTX","Marketaxess Holdings Inc","Common stocks","Mid cap","Financials","$9,184,890,285","1.13%","USA","Analyze"
"LNC","Lincoln National Corp","Common stocks","Mid cap","Financials","$9,170,078,553","3.30%","USA","Analyze"
"BRKR","Bruker Corp","Common stocks","Mid cap","Health Care","$9,160,866,721","0.31%","USA","Analyze"
"UNM","Unum Group","Common stocks","Mid cap","Financials","$9,118,018,737","2.73%","USA","Analyze"
"PHM","Pultegroup Inc","Common stocks","Mid cap","Consumer Discretionary","$9,110,510,763","1.49%","USA","Analyze"
"WSC","Willscot Corp","Common stocks","Mid cap","Industrials","$9,088,691,026","0.00%","USA","Analyze"
"HAS","Hasbro Inc","Common stocks","Mid cap","Consumer Discretionary","$9,011,920,361","4.20%","USA","Analyze"
"STOR","STORE Capital Corporation","REITs","Mid cap","Real Estate","$8,989,471,881","4.83%","USA","Analyze"
"JAZZ","Jazz Pharmaceuticals Plc","Common stocks","Mid cap","Health Care","$8,978,613,977","0.00%","USA","Analyze"
"G","Genpact Ltd","Common stocks","Mid cap","Information Technology","$8,898,961,196","0.99%","USA","Analyze"
"QRVO","Qorvo, Inc.","Common stocks","Mid cap","Information Technology","$8,883,802,042","0.00%","USA","Analyze"
"U","Unity Software Inc.","Common stocks","Mid cap","Information Technology","$8,863,838,893","0.00%","USA","Analyze"
"MTN","Vail Resorts Inc","Common stocks","Mid cap","Consumer Discretionary","$8,836,015,804","2.98%","USA","Analyze"
"NOV","National Oilwell Varco Inc","Common stocks","Mid cap","Energy","$8,798,831,082","0.89%","USA","Analyze"
"BWA","BorgWarner Inc","Common stocks","Mid cap","Consumer Discretionary","$8,787,796,993","1.80%","USA","Analyze"
"HOOD","Robinhood Markets, Inc.","Common stocks","Mid cap","Financials","$8,787,788,320","0.00%","USA","Analyze"
"SNX","Synnex Corp","Common stocks","Mid cap","Information Technology","$8,743,822,229","1.30%","USA","Analyze"
"WRK","Westrock","Common stocks","Mid cap","Materials","$8,680,258,030","2.91%","USA","Analyze"
"CASY","Caseys General Stores Inc","Common stocks","Mid cap","Consumer Staples","$8,669,630,830","0.63%","USA","Analyze"
"JBL","Jabil Inc","Common stocks","Mid cap","Information Technology","$8,650,528,187","0.50%","USA","Analyze"
"GME","Gamestop Corp Class A","Common stocks","Mid cap","Consumer Discretionary","$8,620,961,200","0.00%","USA","Analyze"
"OKTA","Okta Inc Class A","Common stocks","Mid cap","Information Technology","$8,522,041,205","0.00%","USA","Analyze"
"FFIV","F5 Networks Inc","Common stocks","Mid cap","Information Technology","$8,512,033,002","0.00%","USA","Analyze"
"ALLY","Ally Financial Inc","Common stocks","Mid cap","Financials","$8,503,082,253","4.29%","USA","Analyze"
"CBSH","Commerce Bancshares Inc","Common stocks","Mid cap","Financials","$8,492,495,568","1.49%","USA","Analyze"
"RRX","Regal Rexnord Corporation","Common stocks","Mid cap","Industrials","$8,412,066,520","1.07%","USA","Analyze"
"CCK","Crown Holdings Inc","Common stocks","Mid cap","Materials","$8,310,801,798","1.25%","USA","Analyze"
"RHI","Robert Half","Common stocks","Mid cap","Industrials","$8,295,798,063","2.17%","USA","Analyze"
"LII","Lennox International Inc","Common stocks","Mid cap","Industrials","$8,277,430,940","1.68%","USA","Analyze"
"WSM","Williams Sonoma Inc","Common stocks","Mid cap","Consumer Discretionary","$8,260,868,080","2.44%","USA","Analyze"
"IBKR","Interactive Brokers Group Inc","Common stocks","Mid cap","Financials","$8,242,948,043","0.50%","USA","Analyze"
"LEA","Lear Corp","Common stocks","Mid cap","Consumer Discretionary","$8,235,625,501","2.20%","USA","Analyze"
"LECO","Lincoln Electric Holdings Inc","Common stocks","Mid cap","Industrials","$8,198,852,800","1.57%","USA","Analyze"
"FIVE","Five Below Inc","Common stocks","Mid cap","Consumer Discretionary","$8,123,477,842","0.00%","USA","Analyze"
"PFGC","Performance Food Group","Common stocks","Mid cap","Consumer Staples","$8,101,226,511","0.00%","USA","Analyze"
"AGL","agilon health, inc.","Common stocks","Mid cap","Health Care","$8,073,607,631","0.00%","USA","Analyze"
"LAMR","Lamar Advertising Company Class A","REITs","Mid cap","Real Estate","$8,034,571,903","4.79%","USA","Analyze"
"CGNX","Cognex Corp","Common stocks","Mid cap","Information Technology","$8,016,141,553","0.56%","USA","Analyze"
"FRT","Federal Realty Investment Trust","REITs","Mid cap","Real Estate","$8,008,292,052","3.23%","USA","Analyze"
"OC","Owens Corning","Common stocks","Mid cap","Industrials","$8,000,794,185","1.63%","USA","Analyze"
"JEF","Jefferies Financial Group Inc","Common stocks","Mid cap","Financials","$7,998,704,186","3.30%","USA","Analyze"
"NLY","Annaly Capital Management Inc","Mortgage REITs","Mid cap","Financials","$7,996,534,000","17.88%","USA","Analyze"
"PAG","Penske Automotive Group Inc","Common stocks","Mid cap","Consumer Discretionary","$7,958,891,759","1.74%","USA","Analyze"
"GLOB","Globant Sa","Common stocks","Mid cap","Information Technology","$7,903,974,446","0.00%","Argentina","Analyze"
"ZION","Zions Bancorporation","Common stocks","Mid cap","Financials","$7,815,483,218","2.96%","USA","Analyze"
"FND","Floor Decor Holdings Inc","Common stocks","Mid cap","Consumer Discretionary","$7,779,959,929","0.00%","USA","Analyze"
"CHDN","Churchill Downs Inc","Common stocks","Mid cap","Consumer Discretionary","$7,776,513,658","0.32%","USA","Analyze"
"HR","Healthcare Realty Trust Incorporated","REITs","Mid cap","Real Estate","$7,736,565,317","4.52%","USA","Analyze"
"FBHS","Fortune Brands Home And Security","Common stocks","Mid cap","Industrials","$7,735,589,349","1.81%","USA","Analyze"
"SWN","Southwestern Energy","Common stocks","Mid cap","Energy","$7,722,145,133","0.00%","USA","Analyze"
"KNX","Knight Transportation Inc","Common stocks","Mid cap","Industrials","$7,716,739,950","0.95%","USA","Analyze"
"TPR","Tapestry","Common stocks","Mid cap","Consumer Discretionary","$7,668,135,003","3.28%","USA","Analyze"
"JLL","Jones Lang LaSalle Inc","Common stocks","Mid cap","Real Estate","$7,623,220,688","0.00%","USA","Analyze"
"BBWI","Bath & Body Works, Inc.","Common stocks","Mid cap","Consumer Discretionary","$7,623,134,668","2.23%","USA","Analyze"
"LUMN","CenturyLink, Inc.","Common stocks","Mid cap","Communication Services","$7,620,098,094","13.14%","USA","Analyze"
"UHS","Universal Health Services Inc.","Common stocks","Mid cap","Health Care","$7,614,649,531","0.69%","USA","Analyze"
"PNW","Pinnacle West Corp","Common stocks","Mid cap","Utilities","$7,597,661,835","6.20%","USA","Analyze"
"MANH","Manhattan Associates Inc","Common stocks","Mid cap","Information Technology","$7,591,823,766","0.00%","USA","Analyze"
"TTEK","Tetra Tech Inc","Common stocks","Mid cap","Industrials","$7,584,379,873","0.61%","USA","Analyze"
"MIDD","Middleby Corp","Common stocks","Mid cap","Industrials","$7,536,171,765","0.00%","USA","Analyze"
"WHR","Whirlpool Corp","Common stocks","Mid cap","Consumer Discretionary","$7,531,087,657","4.74%","USA","Analyze"
"BOKF","BOK Financial Corp","Common stocks","Mid cap","Financials","$7,504,384,498","1.91%","USA","Analyze"
"NNN","National Retail Properties, Inc","REITs","Mid cap","Real Estate","$7,444,005,634","5.05%","USA","Analyze"
"OHI","Omega Healthcare Investors, Inc","REITs","Mid cap","Real Estate","$7,440,034,360","10.09%","USA","Analyze"
"UGI","UGI Corp","Common stocks","Mid cap","Utilities","$7,419,069,931","3.94%","USA","Analyze"
"NVCR","Novocure Ltd","Common stocks","Mid cap","Health Care","$7,415,772,794","0.00%","USA","Analyze"
"Z","Zillow Group Inc Class C","Common stocks","Mid cap","Real Estate","$7,413,448,150","0.00%","USA","Analyze"
"ZG","Zillow Group Inc Class A","Common stocks","Mid cap","Real Estate","$7,413,448,150","0.00%","USA","Analyze"
"PCOR","Procore Technologies, Inc.","Common stocks","Mid cap","Information Technology","$7,409,922,227","0.00%","USA","Analyze"
"GNRC","Generac Holdings Inc","Common stocks","Mid cap","Industrials","$7,398,641,705","0.00%","USA","Analyze"
"ACHC","Acadia Healthcare Company Inc","Common stocks","Mid cap","Health Care","$7,385,374,032","0.00%","USA","Analyze"
"OGE","OGE Energy Corp","Common stocks","Mid cap","Utilities","$7,333,423,875","4.42%","USA","Analyze"
"SEIC","SEI Investments","Common stocks","Mid cap","Financials","$7,321,186,518","1.47%","USA","Analyze"
"WAL","Western Alliance","Common stocks","Mid cap","Financials","$7,273,331,831","2.09%","USA","Analyze"
"WYNN","Wynn Resorts Ltd","Common stocks","Mid cap","Consumer Discretionary","$7,267,322,654","0.00%","USA","Analyze"
"OLN","Olin Corp","Common stocks","Mid cap","Materials","$7,252,076,319","1.50%","USA","Analyze"
"ADT","ADT Inc.","Common stocks","Mid cap","Consumer Discretionary","$7,250,633,000","1.64%","USA","Analyze"
"CHH","Choice Hotels International Inc","Common stocks","Mid cap","Consumer Discretionary","$7,242,469,877","0.73%","USA","Analyze"
"AIZ","Assurant Inc","Common stocks","Mid cap","Financials","$7,229,018,623","1.99%","USA","Analyze"
"ORI","Old Republic International Corp","Common stocks","Mid cap","Financials","$7,155,717,736","3.87%","USA","Analyze"
"WEX","Wex Inc","Common stocks","Mid cap","Information Technology","$7,155,364,540","0.00%","USA","Analyze"
"CACI","CACI International Inc","Common stocks","Mid cap","Industrials","$7,143,773,452","0.00%","USA","Analyze"
"NCLH","Norwegian Cruise Line Holdings Ltd","Common stocks","Mid cap","Consumer Discretionary","$7,117,263,858","0.00%","USA","Analyze"
"CIEN","Ciena Corp","Common stocks","Mid cap","Information Technology","$7,095,992,699","0.00%","USA","Analyze"
"DKNG","DraftKings Inc. - Class A","Common stocks","Mid cap","Consumer Discretionary","$7,087,024,177","0.00%","USA","Analyze"
"PNR","Pentair","Common stocks","Mid cap","Industrials","$7,065,204,304","1.94%","USA","Analyze"
"GPK","Graphic Packaging Holding","Common stocks","Mid cap","Materials","$7,051,431,071","1.30%","USA","Analyze"
"DCI","Donaldson Inc","Common stocks","Mid cap","Industrials","$7,035,389,333","1.56%","USA","Analyze"
"WCC","Wesco International Inc","Common stocks","Mid cap","Industrials","$6,987,098,545","0.00%","USA","Analyze"
"VOYA","Voya Financial Inc","Common stocks","Mid cap","Financials","$6,984,654,289","1.16%","USA","Analyze"
"IVZ","Invesco Ltd","Common stocks","Mid cap","Financials","$6,969,682,822","4.60%","USA","Analyze"
"CHE","Chemed Corp","Common stocks","Mid cap","Health Care","$6,958,672,139","0.31%","USA","Analyze"
"AOS","A O Smith Corp","Common stocks","Mid cap","Industrials","$6,949,919,482","2.07%","USA","Analyze"
"PDCE","PDC Energy Inc","Common stocks","Mid cap","Energy","$6,947,594,771","1.48%","USA","Analyze"
"CLVT","Clarivate Plc","Common stocks","Mid cap","Industrials","$6,947,439,806","0.00%","USA","Analyze"
"SEE","Sealed Air Corp","Common stocks","Mid cap","Materials","$6,915,715,740","1.67%","USA","Analyze"
"MASI","Masimo Corp","Common stocks","Mid cap","Health Care","$6,912,980,110","0.00%","USA","Analyze"
"AA","Alcoa Corp","Common stocks","Mid cap","Materials","$6,905,857,550","1.02%","USA","Analyze"
"PATH","UiPath, Inc.","Common stocks","Mid cap","Information Technology","$6,890,862,735","0.00%","USA","Analyze"
"RRC","Range Resources Corp","Common stocks","Mid cap","Energy","$6,881,769,214","0.28%","USA","Analyze"
"MPW","Medical Properties Trust, Inc","REITs","Mid cap","Real Estate","$6,858,550,000","9.76%","USA","Analyze"
"KBR","KBR, Inc.","Common stocks","Mid cap","Industrials","$6,828,255,820","0.94%","USA","Analyze"
"EGP","EastGroup Properties, Inc","REITs","Mid cap","Real Estate","$6,827,616,171","2.87%","USA","Analyze"
"VMI","Valmont Inds Inc","Common stocks","Mid cap","Industrials","$6,815,578,435","0.67%","USA","Analyze"
"MP","MP Materials Corp.","Common stocks","Mid cap","Materials","$6,785,082,368","0.00%","USA","Analyze"
"RNR","Renaissancere Holding Ltd","Common stocks","Mid cap","Financials","$6,760,347,560","0.95%","USA","Analyze"
"WH","Wyndham Hotels & Resorts Inc","Common stocks","Mid cap","Consumer Discretionary","$6,706,459,619","1.67%","USA","Analyze"
"ROKU","Roku Class A","Common stocks","Mid cap","Communication Services","$6,705,570,526","0.00%","USA","Analyze"
"MAT","Mattel Inc","Common stocks","Mid cap","Consumer Discretionary","$6,697,676,216","0.00%","USA","Analyze"
"CLF","Cleveland-Cliffs Inc.","Common stocks","Mid cap","Materials","$6,693,779,254","0.00%","USA","Analyze"
"USFD","US Foods Holding Corp","Common stocks","Mid cap","Consumer Staples","$6,682,368,343","0.00%","USA","Analyze"
"GMED","Globus Medical Inc Class A","Common stocks","Mid cap","Health Care","$6,667,509,288","0.00%","USA","Analyze"
"DVA","Davita Inc","Common stocks","Mid cap","Health Care","$6,665,813,000","0.00%","USA","Analyze"
"LSCC","Lattice Semiconductor Corp","Common stocks","Mid cap","Information Technology","$6,661,237,289","0.00%","USA","Analyze"
"OGN","Organon & Co.","Common stocks","Mid cap","Health Care","$6,658,355,552","4.22%","USA","Analyze"
"NXST","Nexstar Media Group Inc","Common stocks","Mid cap","Communication Services","$6,645,399,010","0.53%","USA","Analyze"
"XRAY","Dentsply Sirona Inc","Common stocks","Mid cap","Health Care","$6,640,216,956","1.57%","USA","Analyze"
"CLH","Clean Harbors Inc","Common stocks","Mid cap","Industrials","$6,625,481,056","0.00%","USA","Analyze"
"DXC","DXC Technology Company","Common stocks","Mid cap","Information Technology","$6,608,958,863","0.00%","USA","Analyze"
"PB","Prosperity Bancshares Inc","Common stocks","Mid cap","Financials","$6,597,485,780","2.87%","USA","Analyze"
"SF","Stifel Financial Corp","Common stocks","Mid cap","Financials","$6,567,139,798","1.69%","USA","Analyze"
"COLD","Americold Realty Trust","REITs","Mid cap","Real Estate","$6,532,117,958","1.81%","USA","Analyze"
"HRB","H&R Block Inc","Common stocks","Mid cap","Consumer Discretionary","$6,528,242,779","2.64%","USA","Analyze"
"CPRI","Capri Holdings Limited","Common stocks","Mid cap","Consumer Discretionary","$6,523,534,580","0.00%","USA","Analyze"
"ARW","Arrow Electronics Inc","Common stocks","Mid cap","Information Technology","$6,498,091,047","0.00%","USA","Analyze"
"PEN","Penumbra Inc","Common stocks","Mid cap","Health Care","$6,496,718,118","0.00%","USA","Analyze"
"ATR","Aptargroup Inc","Common stocks","Mid cap","Materials","$6,472,909,393","1.52%","USA","Analyze"
"CW","Curtiss Wright Corp","Common stocks","Mid cap","Industrials","$6,443,763,368","0.44%","USA","Analyze"
"REYN","Reynolds Consumer Products Inc.","Common stocks","Mid cap","Consumer Staples","$6,409,205,575","2.98%","USA","Analyze"
"BERY","Berry Global Group Inc","Common stocks","Mid cap","Materials","$6,402,396,000","0.00%","USA","Analyze"
"STWD","Starwood Property Trust Inc","Mortgage REITs","Mid cap","Financials","$6,388,511,521","8.99%","USA","Analyze"
"BRX","Brixmor Property Group Inc","REITs","Mid cap","Real Estate","$6,385,946,731","4.42%","USA","Analyze"
"DBX","Dropbox Inc Class A","Common stocks","Mid cap","Information Technology","$6,372,672,570","0.00%","USA","Analyze"
"PNFP","Pinnacle Financial Partners Inc","Common stocks","Mid cap","Financials","$6,341,849,901","1.01%","USA","Analyze"
"BYD","Boyd Gaming Corp","Common stocks","Mid cap","Consumer Discretionary","$6,329,555,090","0.78%","USA","Analyze"
"DKS","Dicks Sporting Inc","Common stocks","Mid cap","Consumer Discretionary","$6,325,433,228","1.66%","USA","Analyze"
"ITT","ITT Inc","Common stocks","Mid cap","Industrials","$6,317,453,000","1.32%","USA","Analyze"
"CNXC","Concentrix Corporation","Common stocks","Mid cap","Information Technology","$6,315,551,984","0.84%","USA","Analyze"
"NTNX","Nutanix Inc Class A","Common stocks","Mid cap","Information Technology","$6,304,351,906","0.00%","USA","Analyze"
"FR","First Industrial Realty Trust, Inc","REITs","Mid cap","Real Estate","$6,293,594,956","2.40%","USA","Analyze"
"HOG","Harley Davidson Inc","Common stocks","Mid cap","Consumer Discretionary","$6,284,959,550","1.44%","USA","Analyze"
"IONS","Ionis Pharmaceuticals Inc","Common stocks","Mid cap","Health Care","$6,273,807,140","0.00%","USA","Analyze"
